%SeriesCode,SeriesLabel,MetricName,CalculationType,DefaultScale,TableId:LineNo,SeriesCodeParents
DORTRC,"Other road transportation service","Current Dollars","Level",-6,U20405:202,DROTRC
DORTRG,"Other road transportation service","Fisher Price Index","Level",0,U20404:202,NONE
DORTRX,"Other road transportation service","Chained Dollars","Level",-6,U20406:202,NONE
DOSTRA,"Owner-occupied stationary homes","Fisher Quantity Index","Level",0,U20403:158,NONE
DOSTRC,"Owner-occupied stationary homes","Current Dollars","Level",-6,U20405:158,DOWNRC
DOSTRG,"Owner-occupied stationary homes","Fisher Price Index","Level",0,U20404:158,NONE
DOSTRX,"Owner-occupied stationary homes","Chained Dollars","Level",-6,U20406:158,NONE
DOTMRA,"Market-based PCE other services","Fisher Quantity Index","Level",0,U20403:386,NONE
DOTMRC,"Market-based PCE other services","Current Dollars","Level",-6,U20405:386,NONE
DOTMRG,"Market-based PCE other services","Fisher Price Index","Level",0,U20404:386,NONE
DOTMRX,"Market-based PCE other services","Chained Dollars","Level",-6,U20406:386,NONE
DOTRRA,"Other recreational services (81, 94, and part of 92)","Fisher Quantity Index","Level",0,T20403:80|U20403:224,NONE
DOTRRC,"Other recreational services (81, 94, and part of 92)","Current Dollars","Level",-6,T20405:80|U20405:224,DRCARC
DOTRRG,"Other recreational services (81, 94, and part of 92)","Fisher Price Index","Level",0,T20404:80|U20404:224,NONE
DOTRRX,"Other recreational services (81, 94, and part of 92)","Chained Dollars","Level",-6,T20406:80|U20406:224,NONE
DOTSRA,"Other services","Fisher Quantity Index","Level",0,T10503:22|T20303:21|T20403:95|U20403:274,NONE
DOTSRC,"Other services","Current Dollars","Level",-6,T10505:22|T20305:21|T20405:95|U20305:21|U20405:274,DHCERC
DOTSRG,"Other services","Fisher Price Index","Level",0,T10504:22|T10604:22|T20304:21|T20404:95|U20304:21|U20404:274,NONE
DOTSRL,"Other services","Fisher Quantity Index","Percent change, annual rate",0,T10501:22|T20301:21,NONE
DOTSRS,"Other services","Price Contributions","Level",0,T10608:22,NONE
DOTSRV,"Other services","Fisher Price Index","Percent change, annual rate",0,T10607:22|T20307:21,NONE
DOTSRX,"Other services","Chained Dollars","Level",-6,T10506:22|T20306:21|T20406:95|U20306:21|U20406:274,NONE
DOTSRY,"Other services","Quantity Contributions","Level",0,T10502:22,NONE
DOTSRZ,"Other services","Quantity Contributions","Level",0,T20302:21,NONE
DOUGRA,"Outpatient services, gross output","Fisher Quantity Index","Level",0,U20403:339,NONE
DOUGRC,"Outpatient services, gross output","Current Dollars","Level",-6,U20405:339,DHLGRC
DOUGRG,"Outpatient services, gross output","Fisher Price Index","Level",0,U20404:339,NONE
DOUGRX,"Outpatient services, gross output","Chained Dollars","Level",-6,U20406:339,NONE
DOUSRA,"Outpatient services to households","Fisher Quantity Index","Level",0,U20403:352,NONE
DOUSRC,"Outpatient services to households","Current Dollars","Level",-6,U20405:352,DHLRRC
DOUSRG,"Outpatient services to households","Fisher Price Index","Level",0,U20404:352,NONE
DOUSRX,"Outpatient services to households","Chained Dollars","Level",-6,U20406:352,NONE
DOUTRA,"Outpatient services","Fisher Quantity Index","Level",0,T20403:61|T20503:43|U20403:169,NONE
DOUTRC,"Outpatient services","Current Dollars","Level",-6,T20405:61|T20505:43|U20405:169,DHLCRC|DHLTRC
DOUTRG,"Outpatient services","Fisher Price Index","Level",0,T20404:61|T20504:43|U20404:169,NONE
DOUTRX,"Outpatient services","Chained Dollars","Level",-6,T20406:61|T20506:43|U20406:169,NONE
DOVARA,"Other video equipment","Fisher Quantity Index","Level",0,U20403:40,NONE
DOVARC,"Other video equipment","Current Dollars","Level",-6,U20405:40,DVAARC
DOVARG,"Other video equipment","Fisher Price Index","Level",0,U20404:40,NONE
DOVARX,"Other video equipment","Chained Dollars","Level",-6,U20406:40,NONE
DOVERA,"Video cassettes and discs, blank and prerecorded","Fisher Quantity Index","Level",0,U20403:44,NONE
DOVERC,"Video cassettes and discs, blank and prerecorded","Current Dollars","Level",-6,U20405:44,DRECRC
DOVERG,"Video cassettes and discs, blank and prerecorded","Fisher Price Index","Level",0,U20404:44,NONE
DOVERX,"Video cassettes and discs, blank and prerecorded","Chained Dollars","Level",-6,U20406:44,NONE
DOVSRA,"Other motor vehicle services (61)","Fisher Quantity Index","Level",0,T20403:71|T20503:61|U20403:189,NONE
DOVSRC,"Other motor vehicle services (61)","Current Dollars","Level",-6,T20405:71|T20505:61|U20405:189,DMVORC|DMVSRC
DOVSRG,"Other motor vehicle services (61)","Fisher Price Index","Level",0,T20404:71|T20504:61|U20404:189,NONE
DOVSRX,"Other motor vehicle services (61)","Chained Dollars","Level",-6,T20406:71|T20506:61|U20406:189,NONE
DOWNRA,"Imputed rental of owner-occupied nonfarm housing (21)","Fisher Quantity Index","Level",0,T20403:52|T20503:21|T70403:3|U20403:156,NONE
DOWNRC,"Imputed rental of owner-occupied nonfarm housing (21)","Current Dollars","Level",-6,T20405:52|T20505:21|T70405:3|U20405:156,A2008C|DHSGRC
DOWNRG,"Imputed rental of owner-occupied nonfarm housing (21)","Fisher Price Index","Level",0,T20404:52|T20504:21|T70404:3|U20404:156,NONE
DOWNRX,"Imputed rental of owner-occupied nonfarm housing (21)","Chained Dollars","Level",-6,T20406:52|T20506:21|T70406:3|U20406:156,NONE
DPAARA,"Accessories and parts","Fisher Quantity Index","Level",0,U20403:20,NONE
DPAARC,"Accessories and parts","Current Dollars","Level",-6,U20405:20,DMVPRC
DPAARG,"Accessories and parts","Fisher Price Index","Level",0,U20404:20,NONE
DPAARX,"Accessories and parts","Chained Dollars","Level",-6,U20406:20,NONE
DPAPRA,"Household paper products","Fisher Quantity Index","Level",0,U20403:131,NONE
DPAPRC,"Household paper products","Current Dollars","Level",-6,U20405:131,DHOURC
DPAPRG,"Household paper products","Fisher Price Index","Level",0,U20404:131,NONE
DPAPRX,"Household paper products","Chained Dollars","Level",-6,U20406:131,NONE
DPARRA,"Pari-mutuel net receipts","Fisher Quantity Index","Level",0,U20403:223,NONE
DPARRC,"Pari-mutuel net receipts","Current Dollars","Level",-6,U20405:223,DGAMRC
DPARRG,"Pari-mutuel net receipts","Fisher Price Index","Level",0,U20404:223,NONE
DPARRX,"Pari-mutuel net receipts","Chained Dollars","Level",-6,U20406:223,NONE
DPCCRA,"PCE excluding food and energy","Fisher Quantity Index","Level",0,T20303:25|T20803:6|U20403:368,NONE
DPCCRAM,"PCE excluding food and energy","Fisher Quantity Index","Percent change",0,T20801:6,NONE
DPCCRC,"PCE excluding food and energy","Current Dollars","Level",-6,T20305:25|T20805:6|U20305:25|U20405:368,NONE
DPCCRG,"PCE excluding food and energy","Fisher Price Index","Level",0,T20304:25|T20804:6|U20304:25|U20404:368,NONE
DPCCRGM,"PCE excluding food and energy","Fisher Price Index","Percent change",0,T20807:6,NONE
DPCCRL,"PCE excluding food and energy","Fisher Quantity Index","Percent change, annual rate",0,T20301:25,NONE
DPCCRV,"PCE excluding food and energy","Fisher Price Index","Percent change, annual rate",0,T20307:25,NONE
DPCCRX,"PCE excluding food and energy","Chained Dollars","Level",-6,T20306:26|T20806:6|U20306:25|U20406:368,NONE
DPCCRZ,"PCE excluding food and energy","Quantity Contributions","Level",0,T20302:25,NONE
DPCEAX,"Personal consumption expenditures","Chained Dollars","Level",-6,T10106A:2,NONE
DPCEBX,"Personal consumption expenditures","Chained Dollars","Level",-6,T10106B:2,NONE
DPCECX,"Personal consumption expenditures","Chained Dollars","Level",-6,T10106C:2,NONE
DPCEDX,"Personal consumption expenditures","Chained Dollars","Level",-6,T10106D:2,NONE
DPCERA,"Personal consumption expenditures","Fisher Quantity Index","Level",0,IntlStyl4:3|T10103:2|T10503:2|T20303:1|T20403:1|T20503:1|T20803:1|U20403:1,NONE
DPCERAM,"Personal consumption expenditures (PCE)","Fisher Quantity Index","Percent change",0,T20801:1,NONE
DPCERC,"Personal consumption expenditures","Current Dollars","Level",-6,IntlStyl1:3|T10105:2|T10505:2|T20100:29|T20305:1|T20405:1|T20505:1|T20600:29|T20805:1|T20900:15|T71200:4|U20305:1|U20305:29|U20405:1,A068RC|A191RC
DPCERD,"Personal consumption expenditures","Chained Dollar IPDs","Level",0,T10109:2,NONE
DPCERE,"Personal consumption expenditures","Current Dollar Shares","Level",0,T10110:2,NONE
DPCERG,"Personal consumption expenditures","Fisher Price Index","Level",0,IntlStyl3:3|T10104:2|T10504:2|T10604:2|T20304:1|T20404:1|T20504:1|T20804:1|U20304:1|U20304:29|U20404:1,NONE
DPCERGM,"Personal consumption expenditures (PCE)","Fisher Price Index","Percent change",0,T20807:1,NONE
DPCERJ,"Personal consumption expenditures","Price Contributions","Level",0,T10108:2,NONE
DPCERL,"Personal consumption expenditures (PCE)","Fisher Quantity Index","Percent change, annual rate",0,T10101:2|T10501:2|T20301:1|T20302:1,NONE
DPCERO,"Personal consumption expenditures","Fisher Quantity Index","Percent change, year ago",0,T10111:2,NONE
DPCERS,"Personal consumption expenditures","Price Contributions","Level",0,T10608:2,NONE
DPCERV,"Personal consumption expenditures (PCE)","Fisher Price Index","Percent change, annual rate",0,T10107:2|T10607:2|T20307:1,NONE
DPCERX,"Personal consumption expenditures","Chained Dollars","Level",-6,IntlStyl2:3|T10106:2|T10506:2|T20306:1|T20406:1|T20506:1|T20806:1|U20306:1|U20306:29|U20406:1,NONE
DPCERY,"Personal consumption expenditures","Quantity Contributions","Level",0,T10102:2|T10502:2,NONE
DPCMRA,"Market-based PCE","Fisher Quantity Index","Level",0,T20303:27|T20803:9|U20403:371,NONE
DPCMRAM,"Market-based PCE","Fisher Quantity Index","Percent change",0,T20801:9,NONE
DPCMRC,"Market-based PCE","Current Dollars","Level",-6,T20305:27|T20805:9|U20305:27|U20405:371,NONE
DPCMRG,"Market-based PCE","Fisher Price Index","Level",0,T20304:27|T20804:9|U20304:27|U20404:371,NONE
DPCMRGM,"Market-based PCE","Fisher Price Index","Percent change",0,T20807:9,NONE
DPCMRL,"Market-based PCE","Fisher Quantity Index","Percent change, annual rate",0,T20301:27,NONE
DPCMRV,"Market-based PCE","Fisher Price Index","Percent change, annual rate",0,T20307:27,NONE
DPCMRX,"Market-based PCE","Chained Dollars","Level",-6,T20306:28|T20806:9|U20306:27|U20406:371,NONE
DPCMRZ,"Market-based PCE","Quantity Contributions","Level",0,T20302:27,NONE
DPCRRA,"Personal care","Fisher Quantity Index","Level",0,T20503:118,NONE
DPCRRC,"Personal care","Current Dollars","Level",-6,T20505:118,DOISRC
DPCRRG,"Personal care","Fisher Price Index","Level",0,T20504:118,NONE
DPCRRX,"Personal care","Chained Dollars","Level",-6,T20506:118,NONE
DPCSRA,"Personal care services","Fisher Quantity Index","Level",0,U20403:302,NONE
DPCSRC,"Personal care services","Current Dollars","Level",-6,U20405:302,DPERRC
DPCSRG,"Personal care services","Fisher Price Index","Level",0,U20404:302,NONE
DPCSRX,"Personal care services","Chained Dollars","Level",-6,U20406:302,NONE
DPCXRA,"Market-based PCE excluding food and energy","Fisher Quantity Index","Level",0,T20303:28|T20803:10|U20403:396,NONE
DPCXRAM,"Market-based PCE excluding food and energy","Fisher Quantity Index","Percent change",0,T20801:10,NONE
DPCXRC,"Market-based PCE excluding food and energy","Current Dollars","Level",-6,T20305:28|T20805:10|U20305:28|U20405:396,NONE
DPCXRG,"Market-based PCE excluding food and energy","Fisher Price Index","Level",0,T20304:28|T20804:10|U20304:28|U20404:396,NONE
DPCXRGM,"Market-based PCE excluding food and energy","Fisher Price Index","Percent change",0,T20807:10,NONE
DPCXRL,"Market-based PCE excluding food and energy","Fisher Quantity Index","Percent change, annual rate",0,T20301:28,NONE
DPCXRV,"Market-based PCE excluding food and energy","Fisher Price Index","Percent change, annual rate",0,T20307:28,NONE
DPCXRX,"Market-based PCE excluding food and energy","Chained Dollars","Level",-6,T20306:29|T20806:10|U20306:28|U20406:396,NONE
DPCXRZ,"Market-based PCE excluding food and energy","Quantity Contributions","Level",0,T20302:28,NONE
DPEDRA,"Nonprofit private higher education services to households","Fisher Quantity Index","Level",0,U20403:287,NONE
DPEDRC,"Nonprofit private higher education services to households","Current Dollars","Level",-6,U20405:287,DHEDRC
DPEDRG,"Nonprofit private higher education services to households","Fisher Price Index","Level",0,U20404:287,NONE
DPEDRX,"Nonprofit private higher education services to households","Chained Dollars","Level",-6,U20406:287,NONE
DPENRA,"Pension funds","Fisher Quantity Index","Level",0,U20403:251,NONE
DPENRC,"Pension funds","Current Dollars","Level",-6,U20405:251,DIMPRC
DPENRG,"Pension funds","Fisher Price Index","Level",0,U20404:251,NONE
DPENRX,"Pension funds","Chained Dollars","Level",-6,U20406:251,NONE
DPEORA,"Personal items","Fisher Quantity Index","Level",0,T20503:119,NONE
DPEORC,"Personal items","Current Dollars","Level",-6,T20505:119,DOISRC
DPEORG,"Personal items","Fisher Price Index","Level",0,T20504:119,NONE
DPEORX,"Personal items","Chained Dollars","Level",-6,T20506:119,NONE
DPERRA,"Market-based PCE personal care and clothing services","Fisher Quantity Index","Level",0,T20403:105|U20403:301|U20403:390,NONE
DPERRC,"Market-based PCE personal care and clothing services","Current Dollars","Level",-6,T20405:105|U20405:301|U20405:390,DOTSRC
DPERRG,"Market-based PCE personal care and clothing services","Fisher Price Index","Level",0,T20404:105|U20404:301|U20404:390,NONE
DPERRX,"Market-based PCE personal care and clothing services","Chained Dollars","Level",-6,T20406:105|U20406:301|U20406:390,NONE
DPETRA,"Pets, pet products, and related services","Fisher Quantity Index","Level",0,T20503:92,NONE
DPETRC,"Pets, pet products, and related services","Current Dollars","Level",-6,T20505:92,DRRLRC
DPETRG,"Pets, pet products, and related services","Fisher Price Index","Level",0,T20504:92,NONE
DPETRX,"Pets, pet products, and related services","Chained Dollars","Level",-6,T20506:92,NONE
DPFERA,"PCE food and energy","Fisher Quantity Index","Level",0,U20403:364,NONE
DPFERC,"PCE food and energy","Current Dollars","Level",-6,U20405:364,NONE
DPFERG,"PCE food and energy","Fisher Price Index","Level",0,U20404:364,NONE
DPFERX,"PCE food and energy","Chained Dollars","Level",-6,U20406:364,NONE
DPFTRA,"Parking fees and tolls","Fisher Quantity Index","Level",0,U20403:194,NONE
DPFTRC,"Parking fees and tolls","Current Dollars","Level",-6,U20405:194,DOVSRC
DPFTRG,"Parking fees and tolls","Fisher Price Index","Level",0,U20404:194,NONE
DPFTRX,"Parking fees and tolls","Chained Dollars","Level",-6,U20406:194,NONE
DPFVRA,"Processed fruits and vegetables","Fisher Quantity Index","Level",0,U20403:91,NONE
DPFVRC,"Processed fruits and vegetables","Current Dollars","Level",-6,U20405:91,DFOFRC
DPFVRG,"Processed fruits and vegetables","Fisher Price Index","Level",0,U20404:91,NONE
DPFVRX,"Processed fruits and vegetables","Chained Dollars","Level",-6,U20406:91,NONE
DPHCRA,"Household consumption expenditures","Fisher Quantity Index","Level",0,T20503:2,NONE
DPHCRC,"Household consumption expenditures","Current Dollars","Level",-6,T20505:2|T20900:37|U20305:30,DPCERC|W389RC
DPHCRG,"Household consumption expenditures","Fisher Price Index","Level",0,T20504:2|U20304:30,NONE
DPHCRX,"Household consumption expenditures","Chained Dollars","Level",-6,T20506:2|U20306:30,NONE
DPHMRA,"Pharmaceutical and other medical products (40 and 41)","Fisher Quantity Index","Level",0,T20403:40|T20503:39|U20403:119,NONE
DPHMRC,"Pharmaceutical and other medical products (40 and 41)","Current Dollars","Level",-6,T20405:40|T20505:39|U20405:119,DMPARC|DONGRC
DPHMRG,"Pharmaceutical and other medical products (40 and 41)","Fisher Price Index","Level",0,T20404:40|T20504:39|U20404:119,NONE
DPHMRX,"Pharmaceutical and other medical products (40 and 41)","Chained Dollars","Level",-6,T20406:40|T20506:39|U20406:119,NONE
DPHORA,"Photographic goods and services","Fisher Quantity Index","Level",0,T20503:93,NONE
DPHORC,"Photographic goods and services","Current Dollars","Level",-6,T20505:93,DRRLRC
DPHORG,"Photographic goods and services","Fisher Price Index","Level",0,T20504:93,NONE
DPHORX,"Photographic goods and services","Chained Dollars","Level",-6,T20506:93,NONE
DPHYRA,"Physician services (44)","Fisher Quantity Index","Level",0,T20403:62|T20503:44|U20403:170,NONE
DPHYRC,"Physician services (44)","Current Dollars","Level",-6,T20405:62|T20505:44|U20405:170,DOUTRC
DPHYRG,"Physician services (44)","Fisher Price Index","Level",0,T20404:62|T20504:44|U20404:170,NONE
DPHYRX,"Physician services (44)","Chained Dollars","Level",-6,T20406:62|T20506:44|U20406:170,NONE
DPICRA,"Photo studios","Fisher Quantity Index","Level",0,U20403:217,NONE
DPICRC,"Photo studios","Current Dollars","Level",-6,U20405:217,DAVPRC
DPICRG,"Photo studios","Fisher Price Index","Level",0,U20404:217,NONE
DPICRX,"Photo studios","Chained Dollars","Level",-6,U20406:217,NONE
DPMBRA,"Purchased meals and beverages (102)","Fisher Quantity Index","Level",0,T20403:83|T20503:102|U20403:230,NONE
DPMBRC,"Purchased meals and beverages (102)","Current Dollars","Level",-6,T20405:83|T20505:102|U20405:230,DFSERC
DPMBRG,"Purchased meals and beverages (102)","Fisher Price Index","Level",0,T20404:83|T20504:102|U20404:230,NONE
DPMBRX,"Purchased meals and beverages (102)","Chained Dollars","Level",-6,T20406:83|T20506:102|U20406:230,NONE
DPMERA,"Market-based PCE excluding energy","Fisher Quantity Index","Level",0,U20403:395,NONE
DPMERC,"Market-based PCE excluding energy","Current Dollars","Level",-6,U20405:395,NONE
DPMERG,"Market-based PCE excluding energy","Fisher Price Index","Level",0,U20404:395,NONE
DPMERX,"Market-based PCE excluding energy","Chained Dollars","Level",-6,U20406:395,NONE
DPMFRA,"Market-based PCE food and energy","Fisher Quantity Index","Level",0,U20403:393,NONE
DPMFRC,"Market-based PCE food and energy","Current Dollars","Level",-6,U20405:393,NONE
DPMFRG,"Market-based PCE food and energy","Fisher Price Index","Level",0,U20404:393,NONE
DPMFRX,"Market-based PCE food and energy","Chained Dollars","Level",-6,U20406:393,NONE
DPMIRA,"Portfolio management and investment advice services","Fisher Quantity Index","Level",0,U20403:262,NONE
DPMIRC,"Portfolio management and investment advice services","Current Dollars","Level",-6,U20405:262,DOFIRC
DPMIRG,"Portfolio management and investment advice services","Fisher Price Index","Level",0,U20404:262,NONE
DPMIRX,"Portfolio management and investment advice services","Chained Dollars","Level",-6,U20406:262,NONE
DPMSRA,"Paramedical services (46)","Fisher Quantity Index","Level",0,T20403:64|T20503:46|U20403:172,NONE
DPMSRC,"Paramedical services (46)","Current Dollars","Level",-6,T20405:64|T20505:46|U20405:172,DOUTRC
DPMSRG,"Paramedical services (46)","Fisher Price Index","Level",0,T20404:64|T20504:46|U20404:172,NONE
DPMSRX,"Paramedical services (46)","Chained Dollars","Level",-6,T20406:64|T20506:46|U20406:172,NONE
DPNPRA,"Pharmaceutical products","Fisher Quantity Index","Level",0,T20503:40|U20403:120,NONE
DPNPRC,"Pharmaceutical products","Current Dollars","Level",-6,T20505:40|U20405:120,DPHMRC
DPNPRG,"Pharmaceutical products","Fisher Price Index","Level",0,T20504:40|U20404:120,NONE
DPNPRX,"Pharmaceutical products","Chained Dollars","Level",-6,T20506:40|U20406:120,NONE
DPORRA,"Pork","Fisher Quantity Index","Level",0,U20403:79,NONE
DPORRC,"Pork","Current Dollars","Level",-6,U20405:79,DMAPRC
DPORRG,"Pork","Fisher Price Index","Level",0,U20404:79,NONE
DPORRX,"Pork","Chained Dollars","Level",-6,U20406:79,NONE
DPOURA,"Poultry","Fisher Quantity Index","Level",0,U20403:81,NONE
DPOURC,"Poultry","Current Dollars","Level",-6,U20405:81,DMAPRC
DPOURG,"Poultry","Fisher Price Index","Level",0,U20404:81,NONE
DPOURX,"Poultry","Chained Dollars","Level",-6,U20406:81,NONE
DPRMRA,"Market-based PCE professional services","Fisher Quantity Index","Level",0,U20403:389,NONE
DPRMRC,"Market-based PCE professional services","Current Dollars","Level",-6,U20405:389,NONE
DPRMRG,"Market-based PCE professional services","Fisher Price Index","Level",0,U20404:389,NONE
DPRMRX,"Market-based PCE professional services","Chained Dollars","Level",-6,U20406:389,NONE
DPRORA,"Accounting and other business services","Fisher Quantity Index","Level",0,T20503:123|U20403:294,NONE
DPRORC,"Accounting and other business services","Current Dollars","Level",-6,T20505:123|U20405:294,DPRSRC
DPRORG,"Accounting and other business services","Fisher Price Index","Level",0,T20504:123|U20404:294,NONE
DPRORX,"Accounting and other business services","Chained Dollars","Level",-6,T20506:123|U20406:294,NONE
DPRPRA,"Pets and related products","Fisher Quantity Index","Level",0,U20403:126,NONE
DPRPRC,"Pets and related products","Current Dollars","Level",-6,U20405:126,DREIRC
DPRPRG,"Pets and related products","Fisher Price Index","Level",0,U20404:126,NONE
DPRPRX,"Pets and related products","Chained Dollars","Level",-6,U20406:126,NONE
DPRSRA,"Professional and other services (121)","Fisher Quantity Index","Level",0,T20403:104|T20503:121|U20403:292,NONE
DPRSRC,"Professional and other services (121)","Current Dollars","Level",-6,T20405:104|T20505:121|U20405:292,DOISRC|DOTSRC
DPRSRG,"Professional and other services (121)","Fisher Price Index","Level",0,T20404:104|T20504:121|U20404:292,NONE
DPRSRX,"Professional and other services (121)","Chained Dollars","Level",-6,T20406:104|T20506:121|U20406:292,NONE
DPSSRA,"Postal and delivery services (68)","Fisher Quantity Index","Level",0,T20403:98|T20503:68|U20403:280,NONE
DPSSRC,"Postal and delivery services (68)","Current Dollars","Level",-6,T20405:98|T20505:68|U20405:280,DCMCRC|DCOMRC
DPSSRG,"Postal and delivery services (68)","Fisher Price Index","Level",0,T20404:98|T20504:68|U20404:280,NONE
DPSSRX,"Postal and delivery services (68)","Chained Dollars","Level",-6,T20406:98|T20506:68|U20406:280,NONE
DPSTRA,"First-class postal service (by U.S. Postal Service)","Fisher Quantity Index","Level",0,T20503:69|U20403:281,NONE
DPSTRC,"First-class postal service (by U.S. Postal Service)","Current Dollars","Level",-6,T20505:69|U20405:281,DPSSRC
DPSTRG,"First-class postal service (by U.S. Postal Service)","Fisher Price Index","Level",0,T20504:69|U20404:281,NONE
DPSTRX,"First-class postal service (by U.S. Postal Service)","Chained Dollars","Level",-6,T20506:69|U20406:281,NONE
DPUBRA,"Public transportation","Fisher Quantity Index","Level",0,T20403:72|T20503:62|U20403:195,NONE
DPUBRC,"Public transportation","Current Dollars","Level",-6,T20405:72|T20505:62|U20405:195,DTRNRC|DTRSRC
DPUBRG,"Public transportation","Fisher Price Index","Level",0,T20404:72|T20504:62|U20404:195,NONE
DPUBRX,"Public transportation","Chained Dollars","Level",-6,T20406:72|T20506:62|U20406:195,NONE
DPWCRA,"Workers' compensation","Fisher Quantity Index","Level",0,T20503:115|U20403:272,NONE
DPWCRC,"Workers' compensation","Current Dollars","Level",-6,T20505:115|U20405:272,DHINRC
DPWCRG,"Workers' compensation","Fisher Price Index","Level",0,T20504:115|U20404:272,NONE
DPWCRX,"Workers' compensation","Chained Dollars","Level",-6,T20506:115|U20406:272,NONE
DPXERA,"PCE excluding energy","Fisher Quantity Index","Level",0,U20403:367,NONE
DPXERC,"PCE excluding energy","Current Dollars","Level",-6,U20405:367,NONE
DPXERG,"PCE excluding energy","Fisher Price Index","Level",0,U20404:367,NONE
DPXERX,"PCE excluding energy","Chained Dollars","Level",-6,U20406:367,NONE
DPXFRA,"PCE excluding food","Fisher Quantity Index","Level",0,U20403:366,NONE
DPXFRC,"PCE excluding food","Current Dollars","Level",-6,U20405:366,NONE
DPXFRG,"PCE excluding food","Fisher Price Index","Level",0,U20404:366,NONE
DPXFRX,"PCE excluding food","Chained Dollars","Level",-6,U20406:366,NONE
DRBKRA,"Recreational books (part of 90)","Fisher Quantity Index","Level",0,T20403:17|U20403:58,NONE
DRBKRC,"Recreational books (part of 90)","Current Dollars","Level",-6,T20405:17|U20405:58,DREQRC
DRBKRG,"Recreational books (part of 90)","Fisher Price Index","Level",0,T20404:17|U20404:58,NONE
DRBKRX,"Recreational books (part of 90)","Chained Dollars","Level",-6,T20406:17|U20406:58,NONE
DRCARA,"Recreation services","Fisher Quantity Index","Level",0,T10503:19|T20303:18|T20403:76|U20403:205,NONE
DRCARC,"Recreation services","Current Dollars","Level",-6,T10505:19|T20305:18|T20405:76|U20305:18|U20405:205,DHCERC
DRCARG,"Recreation services","Fisher Price Index","Level",0,T10504:19|T10604:19|T20304:18|T20404:76|U20304:18|U20404:205,NONE
DRCARL,"Recreation services","Fisher Quantity Index","Percent change, annual rate",0,T10501:19|T20301:18,NONE
DRCARS,"Recreation services","Price Contributions","Level",0,T10608:19,NONE
DRCARV,"Recreation services","Fisher Price Index","Percent change, annual rate",0,T10607:19|T20307:18,NONE
DRCARX,"Recreation services","Chained Dollars","Level",-6,T10506:19|T20306:18|T20406:76|U20306:18|U20406:205,NONE
DRCARY,"Recreation services","Quantity Contributions","Level",0,T10502:19,NONE
DRCARZ,"Recreation services","Quantity Contributions","Level",0,T20302:18,NONE
DRCGRA,"Recreation services, gross output","Fisher Quantity Index","Level",0,U20403:342,NONE
DRCGRC,"Recreation","Current Dollars","Level",-6,T20900:60|U20405:342,DNPERC
DRCGRG,"Recreation services, gross output","Fisher Price Index","Level",0,U20404:342,NONE
DRCGRX,"Recreation services, gross output","Chained Dollars","Level",-6,U20406:342,NONE
DRCMRA,"Market-based PCE recreation services","Fisher Quantity Index","Level",0,U20403:383,NONE
DRCMRC,"Market-based PCE recreation services","Current Dollars","Level",-6,U20405:383,NONE
DRCMRG,"Market-based PCE recreation services","Fisher Price Index","Level",0,U20404:383,NONE
DRCMRX,"Market-based PCE recreation services","Chained Dollars","Level",-6,U20406:383,NONE
DRCRRA,"Recreation services to households","Fisher Quantity Index","Level",0,U20403:355,NONE
DRCRRC,"Recreation","Current Dollars","Level",-6,T20900:70|U20405:355,DNPSRC
DRCRRG,"Recreation services to households","Fisher Price Index","Level",0,U20404:355,NONE
DRCRRX,"Recreation services to households","Chained Dollars","Level",-6,U20406:355,NONE
DRECRA,"Recording media","Fisher Quantity Index","Level",0,U20403:42,NONE
DRECRC,"Recording media","Current Dollars","Level",-6,U20405:42,DVAARC
DRECRG,"Recording media","Fisher Price Index","Level",0,U20404:42,NONE
DRECRX,"Recording media","Chained Dollars","Level",-6,U20406:42,NONE
DREERA,"Employee reimbursement","Fisher Quantity Index","Level",0,U20403:14,NONE
DREERC,"Employee reimbursement","Current Dollars","Level",-6,U20405:14,DNPURC
DREERG,"Employee reimbursement","Fisher Price Index","Level",0,U20404:14,NONE
DREERX,"Employee reimbursement","Chained Dollars","Level",-6,U20406:14,NONE
DREFRA,"Garbage and trash collection","Fisher Quantity Index","Level",0,U20403:164,NONE
DREFRC,"Garbage and trash collection","Current Dollars","Level",-6,U20405:164,DWRSRC
DREFRG,"Garbage and trash collection","Fisher Price Index","Level",0,U20404:164,NONE
DREFRX,"Garbage and trash collection","Chained Dollars","Level",-6,U20406:164,NONE
DREIRA,"Recreational items (parts of 80, 92, and 93)","Fisher Quantity Index","Level",0,T20403:41|U20403:124,NONE
DREIRC,"Recreational items (parts of 80, 92, and 93)","Current Dollars","Level",-6,T20405:41|U20405:124,DONGRC
DREIRG,"Recreational items (parts of 80, 92, and 93)","Fisher Price Index","Level",0,T20404:41|U20404:124,NONE
DREIRX,"Recreational items (parts of 80, 92, and 93)","Chained Dollars","Level",-6,T20406:41|U20406:124,NONE
DRELRA,"Religious organizations' services to households","Fisher Quantity Index","Level",0,U20403:319|U20403:358,NONE
DRELRC,"Religious organizations' services to households","Current Dollars","Level",-6,T20900:73|U20405:319|U20405:358,DNPSRC|DSOCRC
DRELRG,"Religious organizations' services to households","Fisher Price Index","Level",0,U20404:319|U20404:358,NONE
DRELRX,"Religious organizations' services to households","Chained Dollars","Level",-6,U20406:319|U20406:358,NONE
DREMRA,"Less: Personal remittances in kind to nonresidents","Fisher Quantity Index","Level",0,U20403:147,NONE
